Voltímetro (V),Incerteza Voltímetro,Corrente (mA),Incerteza Corrente
-9.91,2.00,0,2.00
-9,2.00,0,2.00
-7.99,2.00,0,2.00
-6.94,2.00,0,2.00
-6.00,2.00,0,2.00
-4.95,2.00,0,2.00
-4.049,2.00,0,2.00
-2.98,2.00,0,2.00
-2.03,2.00,0,2.00
-1.0,2.00,0,2.00
-0.22,2.00,0,2.00
0.1,2.00,0,2.00
0.19,2.00,0,2.00
0.28,2.00,0,2.00
0.39,2.00,0.01,2.00
0.45,2.00,0.07,2.00
0.47,2.00,0.09,2.00
0.51,2.00,0.23,2.00
0.52,2.00,0.32,2.00
0.53,2.00,0.36,2.00
0.54,2.00,0.46,2.00
0.59,2.00,1.38,2.00
0.61,2.00,2.31,2.00
0.63,2.00,3.28,2.00
0.64,2.00,4.2,2.00
0.65,2.00,5.16,2.00
0.66,2.00,6.12,2.00
0.66,2.00,7.1,2.00
0.67,2.00,08.09,2.00
0.68,2.00,09.01,2.00
Voltímetro (V),Incerteza Voltímetro,Resistência,Incerteza Resistência
-9.91,2.00,4954442.657,1000.25
-9,2.00,4499493.835,1000.20
-7.99,2.00,3994550.638,1000.16
-6.94,2.00,3469609.691,1000.12
-6.00,2.00,2999662.557,1000.09
-4.95,2.00,2474721.609,1000.05
-4.049,2.00,2024272.282,1000.02
-2.98,2.00,1489832.403,1000.00
-2.03,2.00,1014885.832,999.97
-1.0,2.00,4999437.595,999.95
-0.22,2.00,1099876.271,999.94
0.1,2.00,49.99,999.94
0.19,2.00,94.99,999.94
0.28,2.00,139.98,999.94
0.39,2.00,39000.00,200011.22
0.45,2.00,6428.57,28573.06
0.47,2.00,5222.22,22223.50
0.51,2.00,2217.39,8696.16
0.52,2.00,1625.00,6250.36
0.53,2.00,1472.22,5555.88
0.54,2.00,1173.91,4348.08
0.59,2.00,427.54,1449.36
0.61,2.00,264.07,865.85
0.63,2.00,192.07,609.79
0.64,2.00,152.38,476.22
0.65,2.00,125.97,387.62
0.66,2.00,107.84,326.82
0.66,2.00,92.96,281.71
0.67,2.00,82.82,247.23
0.68,2.00,75.47,221.99
